review_id,is_about_discovery,primary_topic,discovery_subtheme,segment_signal,jtbd,verbatim_evidence,topic_sentiment,stratum,label_model
506,False,pricing,none,free_user,listen to music without restrictions,"I feel the fact that you can't purchase premium through the actual app and instead have to go to a whole other website is just complex, and this is just my opinion but I dislike the fact that there is not really much you give to the people who don’t have premium, we can't loop songs, we can't make a playlist without 8 other songs being added to it, etc.",negative,relevant,8b
507,False,performance_bugs,none,premium_user,listen to music without bugs,"I can’t play the next song in my playlist. I try restarting my phone, PC, anything, and it keeps screwing up.",negative,relevant,8b
510,False,ads,none,free_user,listen to music without ads,"the ads are insufferably annoying. the ads play way too often, it seems like every three songs  four 30 second ads play, and they're extremely loud too",negative,relevant,8b
511,False,ui_ux,none,premium_user,use app without frustration,,negative,relevant,8b
513,False,performance_bugs,none,premium_user,listen to music without bugs,"I have a personal playlist I created that is almost 40 hours long. I drive trucks for a living so I have long periods of time that I can listen to music everyday. Hypothetically, I should be able to listen to this playlist I created for 10 days straight without hearing the same song again but often when I come back to play it again after a break I will hear the same songs often repeated in the shuffle play the next day.",negative,relevant,8b
517,False,ads,none,free_user,listen to music without ads,"Way to many ads. It gives an ad every after song, but I use the method we all know of by now to just get rid of them, but it’s annoying, and then it gives me the same ads over and over even though I give it a thumbs down and report it for “seen too many times” and “not relevant to me” and “I just don’t like the ad” and it says it’ll be used to improve my ad recommendations, but I still get the same ads.",negative,relevant,8b
520,False,ui_ux,none,premium_user,use app without frustration,"The number one thing I hate about this update is the fact that anytime I pick a song, shuffle turns off. It's literally a joke that I have to turn it on every time I pick a new song.",negative,relevant,8b
521,False,ui_ux,none,premium_user,use app without frustration,I do not like this update personally. I know it seems easier to use but it is not because all the stuff I listen to are now in weird places and it recommends podcasts and musicians who I do not listen to.,negative,relevant,8b
579,False,repetition,none,premium_user,listen to music without distractions,"If I want to find new music I'll go look for it. I don't want to be doing my schoolwork, listening to songs that help me stay focused, and all of a sudden get distracted by wondering what the heck this song is.",negative,relevant,8b
582,True,performance_bugs,discovery_works,premium_user,get high-quality music,I love the music that I’ve discovered,positive,relevant,70b
585,False,recommendation_quality,none,premium_user,find new music,Now I struggle to get anything but the same music I already have in several playlists and music I’m not interested in at all.,negative,relevant,8b
586,False,ui_ux,none,free_user,listen to music without distractions,"Once it’s done with your songs, it plays some recommended songs, aka songs that aren’t in my playlist, aka songs I don’t want to listen to.",negative,relevant,8b
588,False,ads,none,unknown,listen to music without ads,You get 2-3 songs then it plays the same 5 ads over and over.,negative,relevant,8b
589,False,ui_ux,none,power_user,organize playlists,You can no longer Organize the playlist,negative,relevant,70b
590,True,discovery,discovery_works,unknown,discover new music,daily mixes! The app gives you daily playlists,positive,relevant,70b
591,False,pricing,none,free_user,listen to music without ads,Perfect for listening to music but you do need to pay if you don’t want to have to listen to adds all the time.,neutral,relevant,8b
593,True,repetition,stale_recs,free_user,control music playback,,negative,relevant,70b
595,False,ui_ux,none,premium_user,listen to music without distractions,,negative,relevant,8b
596,False,ui_ux,none,premium_user,listen to music without distractions,Why can I not see radio/recommended songs when I click on “songs recommended”? Literally who in their right mind ASK to try to see the radio and we see the SEARCH BAR?,negative,relevant,8b
597,False,ui_ux,none,premium_user,listen to music without distractions,"I love my discovery playlist so I need the heart button back because I need to know which songs I love, not only the ones I add to a playlist (which okay it goes automatically to liked songs HOWEVER)",negative,relevant,8b
604,False,pricing,none,premium_user,listen to music without ads,"If you’re planning on paying the premium fee, then move on",negative,relevant,8b
616,False,ui_ux,none,power_user,find music quickly,I was at a red light and can find a song within 5 seconds,negative,relevant,8b
617,False,performance_bugs,none,free_user,play a single song,"If you want to play just one song, chances are, it will play a totally different song that you didn’t want to hear",negative,relevant,8b
619,False,pricing,none,free_user,listen to specific songs,when you are looking for a specific song because again with out premium you can’t just pick a song to start listening to,negative,relevant,8b
629,False,pricing,none,premium_user,listen to music without ads,"if you don’t have premium, it’s not As good",positive,relevant,8b
630,False,performance_bugs,none,free_user,listen to specific songs,I got this app a few days ago and it was fine at first but then it updated into not letting you play the song that you want and only give a preview of it,negative,relevant,8b
631,False,performance_bugs,none,premium_user,listen to music in order,"Only on two of my playlists, when organized by ARTIST, they don’t play in song order",negative,relevant,8b
634,False,ads,none,free_user,listen to podcasts without ads,Every single time I listen to a podcast that has ads in it the ads repeat over and over again,negative,relevant,8b
635,False,ui_ux,none,unknown,improve playlist management,defeats the purpose of different playlists,negative,relevant,70b
644,False,ads,none,free_user,listen to music without ads,You keep adding more and more ads,negative,relevant,8b
649,False,ui_ux,none,premium_user,listen to music without ads,"I’m fine that there’s only six skips per hour, but I would like if it said what current skip I was on",neutral,relevant,8b
650,False,catalog,none,premium_user,,Being allowed to listen to all this wonderful Country Gospel music lifts my heart and makes me realize how truly blessed I am.,positive,relevant,8b
657,False,ads,none,premium_user,,Four ads every 15 minutes is ridiculous.,negative,relevant,8b
659,False,ui_ux,none,premium_user,,"One, the app choices certain songs to play instead of actually randomizing it.",negative,relevant,8b
660,False,performance_bugs,none,premium_user,,"My favorite app but…. I strongly dislike the smart shuffle feature, and how it turns itself on randomly.",negative,relevant,8b
667,False,ads,none,premium_user,,"They’re making it almost as unusable as possible for people who don’t have premium, like now there is a lyric limit?",negative,relevant,8b
679,False,repetition,stale_recs,premium_user,,I am really starting to hate this music app.  I have 6 lists.  All with the same songs on each.,negative,relevant,8b
680,False,ui_ux,none,premium_user,,Any preferences you have will be completely ignored if you connect your device to any other speaker.,negative,relevant,8b
681,False,podcasts,none,unknown,,"I stumbled upon this podcast a few months ago, and I must say, it has been a game-changer.",positive,relevant,8b
684,True,repetition,stale_recs,premium_user,get music recommendations that fit my taste,my daily mixes have their music shuffled into my own or are completely their music,negative,relevant,70b
687,False,performance_bugs,none,premium_user,,I can use up 15 hrs in less than 2 weeks and not always finish the book,negative,relevant,8b
691,False,ui_ux,none,free_user,,"However, there are quite a few cons. First, you can't listen to a thirty second preview of new songs, which saved lots of time.",neutral,relevant,8b
692,False,ui_ux,none,premium_user,,"For queues, whenever I press shuffle it does shuffle the songs, but only about once every 2 or 3 weeks.",negative,relevant,8b
696,False,repetition,none,free_user,listen to music,"I haven't been able to even TRY to listen to a song, looking it up will only prompt a message about needed premium if I want to pick a song...",negative,relevant,8b
710,False,ads,none,free_user,listen to music,Too many adds. Don’t get me wrong this is a great place to listen to music but there are so many adds.,negative,relevant,8b
714,False,recommendation_quality,none,premium_user,listen to music,Please remove smart shuffle. This smart recommendation songs shuffle is the worst training model I have ever met.,negative,relevant,8b
716,True,discovery,discovery_works,premium_user,discover new music,,positive,relevant,70b
717,False,ads,none,free_user,listen to music,I just feel its rlly unfair to have so many ads piled onto people who cant afford or choose not to use premium and get a low experience as the premium people,negative,relevant,8b
718,False,ads,none,premium_user,listen to music,,negative,relevant,8b
721,True,discovery,discovery_works,premium_user,get music recommendations that fit my taste,the algorithm is awesome sauce!,positive,relevant,70b
729,False,repetition,none,free_user,listen to music,It used to be a fun nice app that i actually enjoyed. I got over the recommended songs pretty quick but it used to be every 30 minutes you would get a 1 minute ad.,negative,relevant,8b
730,False,performance_bugs,none,free_user,listen to music,The ad that tells us as people “ now u will enjoy 30 minutes of uninterrupted listening” that end ends at 3-4 seconds!! it lasts for 10 seconds altogether.,negative,relevant,8b
735,False,ui_ux,none,free_user,listen to music,So I can't play whatever I want on an app on my phone without paying premium?? It’d be tight if I can play whatever I want on my phone.,negative,relevant,8b
736,False,catalog,none,free_user,listen to music,even if you have the shuffle option on you’ll continue to only hear 50-70 songs until it restarts again.,neutral,relevant,8b
739,False,performance_bugs,none,free_user,listen to music,"Whenever I search up a song that I would like to just simple listen to from the search bar, it plays a completely different one!",negative,relevant,8b
743,False,ui_ux,none,unknown,"send anonymous feedback, delete songs from playlists, organize playlists, folders, consistent daily mixes","1. You need a place where users can easily send anonymous feedback on the app or at least your website. I hate having to do so in a review, but oh well! 2. PLEASE make songs deletable from play lists by clicking the ellipses menu button on the song (much like you would to add it  to a Playlist in the first place). With no search function in the ""edit"" view of your Playlists, and no great way to organize them pre-edit on the phone app, it is a PAIN to delete songs from long Playlists.",negative,relevant,8b
746,False,performance_bugs,none,power_user,"add music without errors, smart shuffle works correctly",,negative,relevant,8b
751,False,catalog,stale_recs,niche_taste,listen to specific artist's music,"When I request an artist that has hundreds of songs released on multiple albums over several decades, I should here that specific artists music for several hours at least.  Not music that your algorithm thinks I might like",negative,relevant,8b
756,False,pricing,none,free_user,"listen to specific songs, skip songs, choose specific songs",I’m allowed ONLY 6 skips and then I have to wait a whole HOUR to get more. Usually it takes more than 6 skips to get to the song I want.,negative,relevant,8b
764,False,ads,none,unknown,listen to music without issues,"the overall layout of the app is clunky and it keeps randomly removing songs from my library (which is actually a ‘liked songs’ playlist and not actually a library, which is kind of annoying) and in downloading certain songs at random, forcing me to download them again later.",negative,relevant,8b
766,False,catalog,stale_recs,unknown,"listen to specific artist's music, find lesser known artists","All songs?. It’s an awesome app to listen to music, but you can’t see all the songs by an artist. Only the most popular and latest release. That makes it almost impossible to find some songs.",negative,relevant,8b
771,False,ui_ux,none,power_user,"add music to personal playlists quickly, organize playlists","I would absolutely love it if there was a faster option to add music to your own PERSONAL playlist, as I love to create my own personal playlist for family and friends to listen to.",positive,relevant,8b
772,False,social,none,unknown,share music with people from different countries and backgrounds,This is a great way to get my friends music and my own music in front of people who are not local or in my community and a really cool community to have associated with and share their songs and support each other’s efforts to make it possible to get more listeners.,positive,relevant,8b
773,False,performance_bugs,none,unknown,shuffle play works correctly,Don’t list your features as shuffle play when you’ve established a set playlist. I tested your forces “shuffle play” mode and when I switched between stations and then switched back it was the same song and not only that but it was the same place in the song.,negative,relevant,8b
777,False,ui_ux,none,unknown,listen to playlists on repeat without suggested songs,"Yeah the app is nice, I like the fact that it’s not just the originals that they show. But I would deeply appreciate it if they'd stop playing suggested songs. Idc if my playlists is short, maybe I want it that way.",negative,relevant,8b
783,False,ui_ux,none,unknown,"edit recently played, clear unnecessary playlists",I tend to accidentally hit play on random playlists or even a podcast. If you could bring back the option to edit your recently played on the mobile app that would be highly appreciated.,negative,relevant,8b
784,False,pricing,none,premium_user,listen to music without issues,"I’ve had premium for over a year, and I’ve loved it. However, it recently came to my attention that I’ve been charged twice a month for my subscription.",negative,relevant,8b
785,False,catalog,none,unknown,access a list of an artist's songs,"Unless you search up a song in specific, listen to their albums/singles or check their discovery page to see their top 5 songs, (from my knowledge) you just don’t have access to a list of their songs.",negative,relevant,8b
788,False,performance_bugs,none,power_user,listen to music without repetition,the only thing that would be cool to update a little is how frequently the same songs play when I listen to my play lists.,positive,relevant,8b
791,False,other,none,unknown,sing along to music with lyrics,,negative,relevant,70b
792,False,ui_ux,none,new_user,create an account,I downloaded the app but for some reason I can’t make an account.,neutral,relevant,8b
794,True,discovery,discovery_works,unknown,discover new music,I’m always here for new content and new music,positive,relevant,70b
795,False,performance_bugs,none,power_user,listen to music without repetition,The way the playlist radio functions is absolute garbage unless you pay for premium.,negative,relevant,8b
796,True,discovery,discovery_works,unknown,easily add new songs to playlist,I LOVE the enhance feature,positive,relevant,70b
800,False,pricing,none,free_user,buy premium,"The only problem I really have it buying premium it’s self, you guys acknowledged it’s not ideal that you can’t buy it in the app but only on website.",neutral,relevant,8b
802,False,ads,none,free_user,listen to music,"Too many ads. I hate it when the app glitches and gives me a ""30 minutes ad free listen"" ad, followed by 3 more regular ads and NO 30 minutes ad free listening.",negative,relevant,8b
815,False,ads,none,free_user,listen to music,,negative,relevant,8b
817,False,performance_bugs,none,power_user,listen to music,Recent updates are ruining the app. Smart shuffle is the worst feature I’ve ever had the misfortune of having to deal with.,negative,relevant,8b
819,False,ui_ux,none,power_user,listen to music,Slowly becoming worse. I used to enjoy using the app way more than I do now.,negative,relevant,8b
820,False,performance_bugs,none,premium_user,listen to music without bugs,"The app was great up until the update came out. It completely changed the playlist layout, they removed the “queue” button along with the “up next” button, you can’t view and remove the songs added with enhance and there is no longer a button to turn off enhance at all.",negative,relevant,8b
821,False,performance_bugs,none,premium_user,listen to music without bugs,When downloading with the watch connected to a phone it for some reason just forever shows the downloading circle looping but never downloads the music.,negative,relevant,8b
826,False,ui_ux,none,premium_user,find music in saved collection,"The newest update changed the path taken from the “Recently Played” icons, which used to send you to your saved collection of that artist’s work.",negative,relevant,8b
843,False,repetition,none,premium_user,listen to specific playlist without interruptions,"The recommended songs they force into the playlist, for me it honestly ruins the whole vibe of the current playlist I am listening to.",negative,relevant,8b
849,False,ads,none,free_user,listen to music without ads,"So I do, and it still doesn’t work. Two, the actual app has way too many ads, for example there is one that says “Tap now to get 30 minutes with no ads” so obviously I click it while thing ends, I listen to my song, and boom. Ad. Right there in the middle of my listening.",negative,relevant,8b
852,False,ui_ux,none,premium_user,find music in saved collection,"By only being able to preview my profile, I can’t easily see which playlists I have made public.",negative,relevant,8b
863,False,performance_bugs,none,premium_user,listen to music without bugs,"I had a premium account and out of nowhere, although I keep all my apps updated and my iOS system on my XR updated, auto play just decides not to work or work only sometimes.",negative,relevant,8b
864,False,repetition,none,free_user,listen to music without interruptions,When I play a playlist it sometimes will start playing other songs even before the playlist has played all the songs.,neutral,relevant,8b
865,True,discovery,discovery_works,premium_user,discover new music,Finding new music is easier than Apple Music,positive,relevant,70b
867,False,repetition,none,premium_user,listen to specific playlist without interruptions,"I love to listen to my likes songs, but it is hard to enjoy it because at the end of my playlist, it plays suggested tracks which are usually inappropriate or dark.",negative,relevant,8b
868,False,performance_bugs,none,free_user,listen to music without bugs,"If I put songs into a playlist, it won't let me listen to them until it has played at least 4 other recommended songs.",negative,relevant,8b
882,False,performance_bugs,none,premium_user,listen to music without bugs,"When reordering songs in the queue by dragging, they will flicker and the page refuses to scroll, making it very hard to reorder them.",negative,relevant,8b
885,False,performance_bugs,none,premium_user,listen to music without frustration,"The last couple of updates are nothing more than a nuisance! I used to love this app, I didn’t care if it was on a premium account or free but the last few updates made using the app a little unbearable in a few ways.",negative,relevant,8b
887,False,pricing,none,free_user,listen to music without ads,"The idea and concept of a free app to listen to an extremely large and vast catalog of music is very swell, yet there are just too many advertisements.",negative,relevant,8b
897,False,performance_bugs,none,power_user,listen to own playlists,"I keep trying to play my playlist, but each time I do it just plays a song that’s not even on it, and just says “Playing recommended song”.",negative,relevant,8b
899,False,ui_ux,none,premium_user,enjoy music without frustration,For a music app—the usability of this app has actually become worse and a hindrance to the enjoyment of music.,negative,relevant,8b
903,False,ads,none,free_user,listen to music without ads,I also really hate how if i dislike a ad you keep on playing it over and over again like your trying to get a bad rating.,negative,relevant,8b
910,False,repetition,none,new_user,listen to music without repetition,"I can’t tell you how much I absolutely love having three different options of shuffle that play the exact same songs not in the same order, but every single morning the same six songs play there’s seven other songs that play.",negative,relevant,8b
913,False,performance_bugs,none,power_user,enjoy music without frustration,The pure listening experience is shot. The shuffle feature is completely broken.,negative,relevant,8b
915,False,recommendation_quality,none,premium_user,listen to music without frustration,This app has ALL of my favorite music and it’s easy enough to navigate.,positive,relevant,8b
923,False,performance_bugs,none,free_user,listen to music without bugs,the songs i tried to play it just stops at 9 seconds no matter what song it is or playlist it just keeps stopping,negative,relevant,8b
925,False,ui_ux,none,free_user,listen to music without frustration,I wish you could add like a previous track button i don't want to listen to another 69 tracks just to go back to that song.,negative,relevant,8b
926,False,recommendation_quality,none,free_user,listen to music without frustration,I don’t have Premium and I don’t plan on getting it mainly because it works so much better on my computer.,neutral,relevant,8b
929,False,recommendation_quality,none,power_user,listen to music without frustration,"The app is typically pretty spot-on with recommendations, but I am now getting tons of “songs” that are really just nature sounds because I have a short sleep playlist I shuffle at night.",negative,relevant,8b
1271,False,repetition,none,unknown,,"always funnels to the most listened too, and therefore leads you to a bunch of AI top popularity remix music, rather than introducing you to artists that play real instruments that you may have not heard of",negative,relevant,8b
1278,False,repetition,none,unknown,,Shuffle plays the same songs over and over I like Britney and three days grace but that isn’t all i want to listen too with over 2500+ songs Britney and Three Days Grace aren’t the only ones on my play list and they have more then 3 songs too ,negative,relevant,8b
1281,False,ads,none,free_user,listen to music ad-free,I get almost NO ADS,positive,relevant,70b
1317,False,repetition,none,free_user,,"Songs are too repetitive, playlists are too repetitive, and not imaginative",negative,relevant,8b
1367,True,discovery,discovery_works,unknown,find new music and podcasts,Spotify new music and podcasts,positive,relevant,70b
1370,False,performance_bugs,none,unknown,,it wouldn’t let me because of smart shuffle,negative,relevant,8b
1407,True,discovery,discovery_works,unknown,find new songs,great for new songs playlists,positive,relevant,70b
1413,False,repetition,none,unknown,,"Shuffle and using DJ AI, really just ends up playing all the music in my saved playlists and not really shuffling more / new music",negative,relevant,8b
1416,False,repetition,none,premium_user,,Always listening to the same 50 songs on loop,negative,relevant,8b
1420,True,discovery,discovery_works,unknown,discover new music,Nice prediction algorithm,positive,relevant,70b
1448,True,repetition,stale_recs,unknown,get diverse music recommendations,algorithm pushes for a specific artist,negative,relevant,70b
1468,False,repetition,none,unknown,,Seems like there’s algorithms for some songs and they play more frequently than other songs,negative,relevant,8b
1535,False,repetition,none,unknown,,why would you add smart shuffle SPOTIFY GIVE FREE USERS HUMAN RIGHTS BRO,negative,relevant,8b
1538,False,repetition,none,unknown,,"Stop adding random songs that i might like in my playlist, if i wanted to discover music id put shuffle in a random playlist that ive never heard before.",negative,relevant,8b
1601,False,performance_bugs,none,unknown,,Your app sucks now u removed the button where i can check new release albums and singles,negative,relevant,8b
1603,False,ui_ux,none,unknown,,This new algorithm and set up for music/podcasts is horrible and confusing.,negative,relevant,8b
1629,True,repetition,stale_recs,free_user,listen to music without limits,I HATE the limit of 6 shuffles an hour,negative,relevant,70b
1661,False,ui_ux,none,unknown,,,negative,relevant,8b
1663,False,ui_ux,none,premium_user,,The recent change to the discover page is horrible.,negative,relevant,8b
1671,False,repetition,none,unknown,,Dumb smart shuffle. Just keep the enhance option like it was before on the mobile app.,negative,relevant,8b
1734,False,performance_bugs,none,unknown,,App closes. I uninstalled and installed the app over and over checked all my settings see if that was the problem but no.,negative,relevant,8b
1783,False,performance_bugs,none,unknown,,Pretty damn annoying that my songs are buffering when they are downloaded already… you are in offline mode - it’s not that complicated.,negative,relevant,8b
1786,True,discovery,search_fails,unknown,find new music easily,New music hard to find,negative,relevant,70b
1791,False,repetition,none,unknown,,stop giving me the same songs in my playlist and stop constantly raising the price of premium bruh.,negative,relevant,8b
1804,True,discovery,stale_recs,premium_user,find new music,The discover weekly playlist used to be unmatched for me,negative,relevant,70b
1810,False,pricing,none,unknown,,Good algorithm but the lowest cost option is overpriced and the free version is absolute garbage,negative,relevant,8b
1845,False,recommendation_quality,none,premium_user,,"Audio quality is trash, algorithm misses the mark for me every single time",negative,relevant,8b
1861,True,discovery,none,unknown,easily find new releases,"I want an easy, clear list of new songs from the artists I actually listen to",negative,relevant,70b
1866,False,pricing,none,free_user,,im too broke to afford premium,negative,relevant,8b
1894,False,ui_ux,none,unknown,,I don’t want to listen to whatever you think i want to. I want to listen to what i know i want to listen to,negative,relevant,8b
1908,False,social,none,unknown,,I am very disappointed with Spotify’s ethics: it’s complicity in the Palestinian genocide and the very little that gets paid to artists,negative,relevant,8b
1914,False,performance_bugs,none,premium_user,,The quality of this app has been on a steady downward curve since these new features,negative,relevant,8b
1926,False,ads,none,unknown,,2-3 AI “artists” garbage making its way into our discover weekly,negative,relevant,8b
1929,False,performance_bugs,none,premium_user,,There's a bug for when I click on the image to put it on repeat or anything else it doesn't put it like normal,negative,relevant,8b
1958,False,ui_ux,none,unknown,,You could be little bit more generous. Not allowing people to go backwards in order to listen the same song again is ridiculous,negative,relevant,8b
1961,False,performance_bugs,none,unknown,,The same songs just play on repeat when I shuffle a playlist.. fix your shuffle feature and make it actually random,negative,relevant,8b
1965,False,pricing,none,premium_user,get money back,I couldn’t get ahold of anyone to rectify the situation and get my money back.,negative,relevant,8b
1991,False,catalog,none,unknown,view year in review,Wrapped should ALWAYS have the number of new songs we listened to that year,negative,relevant,8b
1993,False,ui_ux,none,power_user,filter autoplay,there isn't a setting that lets you filter autoplay to only your followed podcasts,negative,relevant,8b
2008,False,ads,none,premium_user,stream music,the ads are too frequent (Every 2-3 songs),neutral,relevant,8b
2011,False,recommendation_quality,none,premium_user,listen to specific music genre,The algorithm that recommends music to you is not great,negative,relevant,8b
2012,False,performance_bugs,none,unknown,listen to music,The shuffle can just give the same songs over and over again,negative,relevant,8b
2072,False,performance_bugs,none,unknown,listen to playlist,"When you have a playlist for some reason, the shuffle plays the same songs before you go through the whole playlist",negative,relevant,8b
2119,True,discovery,no_control,unknown,find new artists without AI,There should be a setting to exclude the AI songs from the suggestions,negative,relevant,70b
2142,False,performance_bugs,none,premium_user,listen to music on repeat,"Please re-add the repeat button, it’s a pain having to keep adding a song to que just to listen to it on repeat",negative,relevant,8b
2153,False,catalog,none,unknown,listen to music,More repetitive than radio,negative,relevant,8b
2177,True,discovery,discovery_works,unknown,discover new music,Spotify just has a better algorithm for discovering new music,positive,relevant,70b
